step,mean_ep_reward,suc_pct,acol_pct,pcol_pct,tmo_pct
22937600,-11.187,19.86,1.39,0.0,65.16
23068672,-7.6436,22.35,1.57,0.0,70.2
23199744,-8.4973,24.25,1.66,0.0,65.78
23330816,-8.6351,21.88,0.91,0.3,69.0
23461888,-7.8593,23.27,0.0,0.0,66.35
23592960,-11.1355,18.6,0.0,0.0,67.11
23724032,-6.1475,29.92,0.0,0.0,54.92
23855104,-8.8492,20.66,0.33,0.0,74.1
23986176,-8.1618,26.35,1.27,0.63,65.4
24117248,-7.3819,30.32,3.5,0.0,61.22
24248320,-5.4479,36.49,3.78,2.16,51.62
24379392,-3.1323,41.32,4.1,2.52,47.32
24510464,-5.9753,37.04,5.39,2.69,50.17
24641536,-5.3324,37.57,3.85,2.66,49.7
24772608,-2.5996,40.51,2.27,0.85,51.27
24903680,-4.7599,39.25,3.23,1.08,48.12
25034752,-0.378,47.35,2.35,2.06,44.41
25165824,-1.2352,46.41,1.8,1.2,42.51
25296896,-0.1272,48.79,2.68,1.07,43.43
25427968,0.3523,48.72,1.03,0.51,44.62
25559040,2.4997,56.09,1.67,1.19,38.42
25690112,5.1704,60.76,1.27,0.51,32.91
25821184,4.9018,60.99,2.77,0.59,29.9
25952256,8.0265,68.76,2.1,0.19,24.38
26083328,7.1404,65.9,2.31,1.16,25.82
26214400,11.149,74.8,2.05,0.61,18.44
26345472,12.6693,76.61,1.1,0.55,16.94
26476544,11.3519,74.39,2.45,0.38,18.27
26607616,10.4687,74.4,3.07,1.71,15.7
26738688,8.7875,73.33,4.44,2.04,15.56
26869760,8.2975,71.88,4.36,2.97,13.86
27000832,5.217,67.22,4.76,4.03,16.85
27131904,7.9465,71.89,4.21,2.53,14.31
27262976,7.2496,68.84,3.59,4.24,15.5
27394048,6.0295,67.98,4.4,5.01,12.29
27525120,4.4959,68.79,6.5,5.2,8.09
27656192,5.5659,70.46,5.91,4.92,7.88
27787264,6.455,71.94,6.47,4.32,8.63
27918336,6.9385,72.59,5.69,5.83,6.71
28049408,6.5719,70.62,3.86,5.66,6.07
28180480,6.2321,70.95,4.19,7.26,5.17
28311552,7.483,73.61,4.27,6.21,5.43
28442624,4.8078,70.37,6.98,6.75,4.92
28573696,6.694,72.91,6.56,6.68,3.7
28704768,6.2709,72.42,6.08,8.02,3.65
28835840,7.5332,71.09,5.6,10.42,3.91
28966912,8.2351,73.65,5.24,7.65,3.54
